X,Y,Z,Cu,HoleId,ClusterId
2854.5,5265.3,2496.5,0.78,57,0
2845.04,5210.7,2506.6,0.72,54,0
2829.61,5210.7,2524.98,0.74,54,0
2953.17,5108.5,2461.35,1.08,75,0
2956.25,5108.5,2469.81,1.23,75,0
2963.43,5108.5,2489.54,1.41,75,0
2894.6,5101.5,2501.3,0.87,68,0
2894.6,5101.5,2489.3,0.75,68,0
2894.6,5101.5,2552.3,0.91,68,0
2894.6,5101.5,2549.3,0.91,68,0
2894.6,5101.5,2594.3,0.78,68,0
2894.6,5101.5,2615.3,0.68,68,0
2847.3,5158.2,2471.1,0.88,5,0
2885.09,5209.5,2447.13,0.89,35,0
2875.8,5209.5,2467.04,0.72,35,0
2878.53,5209.5,2461.2,0.75,35,0
2885.73,5209.5,2445.75,0.89,35,0
2888.71,5210.7,2454.55,0.7,54,0
2877.82,5210.7,2467.53,0.72,54,0
2881.68,5210.7,2462.93,0.76,54,0
2847.3,5158.2,2501.1,0.79,5,0
2847.3,5158.2,2504.1,0.79,5,0
2847.3,5158.2,2537.1,0.77,5,0
2847.3,5158.2,2516.1,0.67,5,0
2848.89,5210.7,2502,0.66,54,0
2853.3,5209.5,2515.31,0.69,35,0
2843.05,5209.5,2537.28,0.66,35,0
2845.52,5209.5,2531.98,0.45,35,0
2862.07,5209.5,2496.5,0.71,35,0
2894.6,5101.5,2492.3,0.75,68,0
2894.6,5101.5,2519.3,1.07,68,0
2894.6,5101.5,2525.3,1.26,68,0
2865.71,5209.5,2488.68,0.64,35,0
2872.21,5209.5,2474.75,0.64,35,0
2855.43,5209.5,2510.73,0.68,35,0
2864.6,5209.5,2491.06,0.64,35,0
2847.3,5158.2,2543.1,0.76,5,0
2894.6,5101.5,2565.8,0.9,68,0
2847.3,5158.2,2585.1,0.93,5,0
2894.6,5101.5,2600.3,0.8,68,0
2835.44,5209.5,2553.6,0.74,35,0
2840.51,5209.5,2542.72,0.75,35,0
2821.49,5209.5,2583.51,0.97,35,0
2847.3,5158.2,2573.1,1.06,5,0
2894.6,5101.5,2546.3,1.23,68,0
2894.6,5101.5,2585.3,0.87,68,0
2894.6,5101.5,2618.3,0.68,68,0
2854.5,5265.3,2499.5,0.89,57,0
2860.14,5210.7,2488.6,0.76,54,0
2841.18,5210.7,2511.19,0.72,54,0
2854.5,5265.3,2505.5,1.17,57,0
2854.5,5265.3,2490.5,0.82,57,0
2870.11,5210.7,2476.72,0.68,54,0
2827.68,5210.7,2527.28,0.7,54,0
2836.68,5210.7,2516.56,0.68,54,0
2951.98,5108.5,2458.06,1.08,75,0
2946.3,5158.6,2415.3,0.67,58,0
2945.99,5108.5,2441.62,0.82,75,0
2954.2,5108.5,2464.17,1.28,75,0
2958.3,5108.5,2475.45,1.45,75,0
2959.33,5108.5,2478.27,1.61,75,0
2966.51,5108.5,2498,1.36,75,0
2894.6,5101.5,2498.3,0.87,68,0
2894.6,5101.5,2510.3,0.85,68,0
2894.6,5101.5,2537.3,1.26,68,0
2894.6,5101.5,2555.3,1,68,0
2894.6,5101.5,2564.05,0.9,68,0
2894.6,5101.5,2619.3,0.69,68,0
2894.6,5101.5,2606.3,0.78,68,0
2894.6,5101.5,2609.3,0.7,68,0
2884.67,5209.5,2448.03,0.81,35,0
2887,5209.5,2443.03,0.89,35,0
2890.38,5209.5,2435.78,0.62,35,0
2876.62,5209.5,2465.28,0.75,35,0
2874.74,5209.5,2469.31,0.72,35,0
2881.08,5209.5,2455.72,0.81,35,0
2882.35,5209.5,2453,0.81,35,0
2885.53,5210.7,2458.34,0.81,54,0
2889.94,5210.7,2453.09,0.7,54,0
2891.35,5210.7,2451.41,0.82,54,0
2875.89,5210.7,2469.83,0.68,54,0
2873.96,5210.7,2472.13,0.71,54,0
2882.8,5210.7,2461.59,0.76,54,0
2883.76,5210.7,2460.44,0.76,54,0
2817.59,5209.5,2591.89,1.14,35,0
2818.46,5209.5,2590.01,1.14,35,0
2847.3,5158.2,2477.1,1.23,5,0
2847.3,5158.2,2498.1,0.99,5,0
2847.3,5158.2,2510.1,0.69,5,0
2847.3,5158.2,2507.1,0.69,5,0
2847.3,5158.2,2534.1,0.76,5,0
2847.3,5158.2,2531.1,0.76,5,0
2847.3,5158.2,2519.1,0.67,5,0
2847.3,5158.2,2522.1,0.73,5,0
2849.29,5209.5,2523.89,0.57,35,0
2834.75,5210.7,2518.86,0.74,54,0
2852.03,5209.5,2518.02,0.69,35,0
2852.75,5210.7,2497.41,0.61,54,0
2844.1,5209.5,2535.02,0.66,35,0
2822.06,5210.7,2533.98,0.76,54,0
2847.3,5158.2,2528.1,0.73,5,0
2846.68,5209.5,2529.49,0.45,35,0
2859.53,5209.5,2501.94,0.73,35,0
2863.33,5209.5,2493.78,0.71,35,0
2894.6,5101.5,2513.3,0.87,68,0
2894.6,5101.5,2495.3,0.77,68,0
2894.6,5101.5,2522.3,1.07,68,0
2894.6,5101.5,2539.3,1.19,68,0
2894.6,5101.5,2531.3,1.37,68,0
2894.6,5101.5,2534.3,1.26,68,0
